title,state,wiki_link,imdb_link,imdb_id,year,genres,rating,votes,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,Game-Show,History,Horror,Musical,Music,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western
4 Little Girls,Alabama,https://en.wikipedia.org/wiki/4_Little_Girls,https://www.imdb.com/title/tt0118540/,tt0118540,1997,"Documentary,History",7.8,2808,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alabama Moon,Alabama,https://en.wikipedia.org/wiki/Alabama_Moon_(film),https://www.imdb.com/title/tt1300155/,tt1300155,2009,"Drama,Family",6.5,1383,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Another Part of the Forest,Alabama,https://en.wikipedia.org/wiki/Another_Part_of_the_Forest_(film),https://www.imdb.com/title/tt0040102/,tt0040102,1948,"Drama,Romance",7.1,444,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Before I Wake,Alabama,https://en.wikipedia.org/wiki/Before_I_Wake_(2016_film),https://www.imdb.com/title/tt3174376/,tt3174376,2016,"Drama,Fantasy,Horror",6.2,38363,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Big Fish,Alabama,https://en.wikipedia.org/wiki/Big_Fish,https://www.imdb.com/title/tt0319061/,tt0319061,2003,"Adventure,Drama,Fantasy",8.0,410596,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Blue Sky,Alabama,https://en.wikipedia.org/wiki/Blue_Sky_(1994_film),https://www.imdb.com/title/tt0109306/,tt0109306,1994,"Drama,Romance",6.4,6729,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Body Snatchers,Alabama,https://en.wikipedia.org/wiki/Body_Snatchers_(1993_film),https://www.imdb.com/title/tt0106452/,tt0106452,1993,"Horror,Sci-Fi",6.0,16488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False
Borat,Alabama,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453,2006,Comedy,7.3,355350,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Borat,California,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453,2006,Comedy,7.3,355350,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Borat,Georgia,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453,2006,Comedy,7.3,355350,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Borat,New York,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453,2006,Comedy,7.3,355350,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
