title,state,wiki_link,imdb_link,imdb_id
4 Little Girls,Alabama,https://en.wikipedia.org/wiki/4_Little_Girls,https://www.imdb.com/title/tt0118540/,tt0118540
Alabama Moon,Alabama,https://en.wikipedia.org/wiki/Alabama_Moon_(film),https://www.imdb.com/title/tt1300155/,tt1300155
Another Part of the Forest,Alabama,https://en.wikipedia.org/wiki/Another_Part_of_the_Forest_(film),https://www.imdb.com/title/tt0040102/,tt0040102
The Barber of Birmingham,Alabama,https://en.wikipedia.org/wiki/The_Barber_of_Birmingham,https://www.imdb.com/title/tt1844056/,tt1844056
Before I Wake,Alabama,https://en.wikipedia.org/wiki/Before_I_Wake_(2016_film),https://www.imdb.com/title/tt3174376/,tt3174376
Big Fish,Alabama,https://en.wikipedia.org/wiki/Big_Fish,https://www.imdb.com/title/tt0319061/,tt0319061
Blue Sky,Alabama,https://en.wikipedia.org/wiki/Blue_Sky_(1994_film),https://www.imdb.com/title/tt0109306/,tt0109306
Body Snatchers,Alabama,https://en.wikipedia.org/wiki/Body_Snatchers_(1993_film),https://www.imdb.com/title/tt0106452/,tt0106452
Borat,Alabama,https://en.wikipedia.org/wiki/Borat,https://www.imdb.com/title/tt0443453/,tt0443453
Bright Road,Alabama,https://en.wikipedia.org/wiki/Bright_Road,https://www.imdb.com/title/tt0045578/,tt0045578
Brüno,Alabama,https://en.wikipedia.org/wiki/Br%C3%BCno,https://www.imdb.com/title/tt0889583/,tt0889583
Burning Bright,Alabama,https://en.wikipedia.org/wiki/Burning_Bright_(film),https://www.imdb.com/title/tt1244658/,tt1244658
The Butler,Alabama,https://en.wikipedia.org/wiki/The_Butler,https://www.imdb.com/title/tt1327773/,tt1327773
ChromeSkull: Laid to Rest 2,Alabama,https://en.wikipedia.org/wiki/ChromeSkull:_Laid_to_Rest_2,https://www.imdb.com/title/tt1792799/,tt1792799
Constellation,Alabama,https://en.wikipedia.org/wiki/Constellation_(film),https://www.imdb.com/title/tt0315431/,tt0315431
Crazy in Alabama,Alabama,https://en.wikipedia.org/wiki/Crazy_in_Alabama,https://www.imdb.com/title/tt0142201/,tt0142201
Dead Birds,Alabama,https://en.wikipedia.org/wiki/Dead_Birds_(2004_film),https://www.imdb.com/title/tt0377749/,tt0377749
The Death of Dick Long,Alabama,https://en.wikipedia.org/wiki/The_Death_of_Dick_Long,https://www.imdb.com/title/tt9356952/,tt9356952
A Dog Named Gucci,Alabama,https://en.wikipedia.org/wiki/A_Dog_Named_Gucci,https://www.imdb.com/title/tt3588852/,tt3588852
Due Date,Alabama,https://en.wikipedia.org/wiki/Due_Date,https://www.imdb.com/title/tt1231583/,tt1231583
Fantasia Among the Squares,Alabama,https://en.wikipedia.org/wiki/Fantasia_Among_the_Squares,https://www.imdb.com/title/tt0150505/,tt0150505
The Fighting Kentuckian,Alabama,https://en.wikipedia.org/wiki/The_Fighting_Kentuckian,https://www.imdb.com/title/tt0041361/,tt0041361
Forrest Gump,Alabama,https://en.wikipedia.org/wiki/Forrest_Gump,https://www.imdb.com/title/tt0109830/,tt0109830
Fried Green Tomatoes,Alabama,https://en.wikipedia.org/wiki/Fried_Green_Tomatoes,https://www.imdb.com/title/tt0101921/,tt0101921
George Wallace,Alabama,https://en.wikipedia.org/wiki/George_Wallace_(film),https://www.imdb.com/title/tt0119189/,tt0119189
Girl House,Alabama,https://en.wikipedia.org/wiki/Girl_House,https://www.imdb.com/title/tt2577172/,tt2577172
Grace Unplugged,Alabama,https://en.wikipedia.org/wiki/Grace_Unplugged,https://www.imdb.com/title/tt2349460/,tt2349460
The Grass Harp,Alabama,https://en.wikipedia.org/wiki/The_Grass_Harp_(film),https://www.imdb.com/title/tt0113211/,tt0113211
Green Book,Alabama,https://en.wikipedia.org/wiki/Green_Book_(film),https://www.imdb.com/title/tt6966692/,tt6966692
Harold & Kumar Escape from Guantanamo Bay,Alabama,https://en.wikipedia.org/wiki/Harold_%26_Kumar_Escape_from_Guantanamo_Bay,https://www.imdb.com/title/tt0481536/,tt0481536
Heart of Dixie,Alabama,https://en.wikipedia.org/wiki/Heart_of_Dixie_(film),https://www.imdb.com/title/tt0097490/,tt0097490
Heavens Fall,Alabama,https://en.wikipedia.org/wiki/Heavens_Fall,https://www.imdb.com/title/tt0425094/,tt0425094
Hell and Mr. Fudge,Alabama,https://en.wikipedia.org/wiki/Hell_and_Mr._Fudge,https://www.imdb.com/title/tt1966465/,tt1966465
Honeydripper,Alabama,https://en.wikipedia.org/wiki/Honeydripper_(film),https://www.imdb.com/title/tt0829193/,tt0829193
